student ID,FirstName,LastName,StartDate,standard ,PayZone,Student ClassificationType,TerminationDescription,DepartmentType,Division,DOB,State, Student FunctionDescription,GenderCode,LocationCode,RaceDesc,Performance Score,Current student Rating,,,,,,,
3480,Jerimiah,Harmon,8-Sep-22,10,Zone C,Full time,View vote contain within fight cup party war.,General  ,Catv,8/9/1946,TX,Supervisor,Female,75671,Black,Fully Meets,1,,,,,,,
3481,Leland,Allen,7-Mar-19,10,Zone C,Full time,Buy house certain wrong research chair.,General  ,Wireline Construction,12/11/1965,TX,Splicer,Male,61149,Other,Fully Meets,4,,,,,,,
3482,Cristal,Bolton,29-Oct-19,10,Zone A,Full time,Miss onto none our discussion year.,General  ,Catv,2/11/1990,TX,Lineman,Male,57302,Asian,Needs Improvement,2,,,,,,,
3483,Jaslene,Harding,26-Sep-21,10,Zone B,Full time,,General  ,Project Management - Con,6/19/1964,CO,Coordinator,Male,42605,Asian,Fully Meets,1,,,,,,,
3484,Albert,Gonzalez,29-Aug-18,10,Zone B,Full time,,General  ,General - Con,7/18/1995,CO,Model Assistant,Male,64036,Other,Fully Meets,4,,,,,,,
3485,Jaiden,Johnson,26-Oct-21,10,Zone C,Full time,,General  ,Field Operations,8/22/1994,CO,Laborer,Male,23173,White,Fully Meets,5,,,,,,,
3486,Brendon,Mcconnell,31-Oct-22,10,Zone C,Full time,Nature finish modern push former American.,General  ,Fielders,11/14/1990,IN,Engineer,Male,19665,Other,Fully Meets,4,,,,,,,
3487,Kimora,Parsons,15-Mar-23,10,Zone B,Full time,,General  ,General - Sga,2/1/1994,KY,Administrator,Female,41161,Other,Fully Meets,4,,,,,,,
3488,Willie,Patterson,9-Sep-22,10,Zone B,Full time,,General  ,Wireline Construction,11/12/1997,KY,Lineman,Female,52499,Asian,Fully Meets,2,,,,,,,
3489,Devyn,Powers,4-Mar-22,10,Zone A,Full time,,General  ,Field Operations,5/2/1953,TX,Laborer,Female,25634,Black,Fully Meets,2,,,,,,,
3490,Weston,Preston,11-Feb-19,10,Zone A,Full time,,General  ,General - Sga,7/10/1991,TX,Director,Female,37965,Hispanic,Fully Meets,2,,,,,,,
3491,Lennon,Buchanan,26-Jan-21,10,Zone B,Full time,,General  ,Field Operations,6/2/1973,TX,Driver,Male,39504,White,Fully Meets,5,,,,,,,
3492,Vicente,Merritt,26-Nov-19,10,Zone C,Full time,,General  ,General - Con,1/8/1993,CO,Clerk,Male,31676,Asian,Fully Meets,1,,,,,,,
3493,Hugo,Clay,15-Jul-19,10,Zone C,Full time,,General  ,Project Management - Con,4/17/1984,CO,Project Manager,Male,28784,Asian,Fully Meets,5,,,,,,,
3494,Cohen,Raymond,18-Jun-20,10,Zone B,Full time,,General  ,General - Con,2/8/1994,CO,Technician,Male,90983,Black,Fully Meets,4,,,,,,,
3495,Tia,Ellis,22-Jun-23,10,Zone B,Full time,Night company image able suggest.,General  ,Wireline Construction,1/27/1993,IN,Laborer,Male,1115,Other,Fully Meets,4,,,,,,,
3496,Aspen,Bentley,2-Dec-21,10,Zone A,Full time,,General  ,General - Sga,9/19/1964,CA,Administrator,Male,72233,Other,Fully Meets,5,,,,,,,
3497,Graham,Rodriguez,8-Dec-21,10,Zone C,Full time,,General  ,Project Management - Con,2/18/1981,OR,Lineman,Female,58210,Hispanic,Fully Meets,1,,,,,,,
3498,Joel,Mcmillan,26-Apr-23,10,Zone A,Full time,About allow article. For gas player magazine.,General  ,General - Sga,10/17/1998,KY,Laborer,Female,36087,White,Fully Meets,2,,,,,,,
3499,Maci,Frost,25-Sep-18,10,Zone C,Full time,Seem hand dog. Us six beyond place fund well.,General  ,Field Operations,1/16/1971,KY,Technician,Female,61457,Asian,Fully Meets,5,,,,,,,
3500,Nevaeh,Lucas,20-Nov-18,10,Zone B,Full time,Game hour boy not write somebody owner.,General  ,Shop (Fleet),2/25/2000,TX,Mechanic,Female,80424,White,Fully Meets,1,,,,,,,
3501,Garrett,Zimmerman,30-Aug-20,10,Zone A,Full time,Worker medical commercial participant tough leg.,General  ,General - Con,4/19/1959,TX,Technician,Male,6240,Other,Fully Meets,4,,,,,,,
3502,Eugene,Marks,1-Oct-19,10,Zone C,Full time,,General  ,Splicing,6/29/1976,TX,Electrician,Male,49914,White,Fully Meets,1,,,,,,,
3503,Geovanni,Pugh,20-Jan-22,10,Zone A,Full time,,General  ,Project Management - Con,7/27/1951,CO,Manager,Male,71319,Other,Fully Meets,4,,,,,,,
3504,Javon,Kelley,10-Oct-21,10,Zone B,Full time,,General  ,General - Con,8/23/1980,CO,Laborer,Male,27992,Hispanic,Fully Meets,2,,,,,,,
3505,Amaya,Hicks,29-Aug-20,10,Zone B,Full time,,General  ,Field Operations,7/24/1943,IN,Groundman,Male,72324,Hispanic,Fully Meets,1,,,,,,,
3506,Laila,Woodard,27-Aug-19,10,Zone B,Full time,Fund nor half early miss follow.,General  ,Field Operations,7/6/1988,IN,Technician,Male,38740,Other,Fully Meets,2,,,,,,,
3507,Ivan,Huff,25-Feb-21,10,Full-Time,Full time,Full-Time,General  ,Line later deal stand sometimes too mind.,Sales,Project Management - Con,3/24/1973,CA,Manager,Male,9437,White,Single,Fully Meets,4,,,,
3508,Aidan,Harding,13-Jul-21,10,Full-Time,Full time,Part-Time,General  ,,Sales,Aerial,5/26/1942,OR,Laborer,Male,9385,Asian,Single,Fully Meets,5,,,,
3509,Cruz,Boyer,14-Apr-21,10,Part-Time,Full time,Full-Time,General  ,,Sales,General - Sga,11/4/1977,KY,Project Controls,Female,75993,Black,Married,Fully Meets,2,,,,
3510,Raven,Koch,10-Feb-20,10,Part-Time,Full time,Full-Time,General  ,,Sales,General - Con,10/17/1956,KY,Laborer,Female,65329,Hispanic,Married,Fully Meets,2,,,,
3511,Karli,Barker,17-Aug-21,10,Part-Time,Full time,Full-Time,General  ,Tell paper every.,Sales,Finance & Accounting,2/18/1997,KY,Director,Female,41111,Asian,Divorced,Fully Meets,4,,,,
3512,Tyrone,Sosa,17-Apr-23,10,Contract,Full time,Temporary,General  ,Why sport must page bad.,Sales,Yard (Material Handling),10/25/1996,TX,Coordinator,Female,58860,Black,Single,Fully Meets,2,,,,
3513,Damaris,Cisneros,2-Sep-22,10,Contract,Full time,Temporary,General  ,Something sense information final building.,Sales,General - Con,11/13/1959,TX,Laborer,Male,93051,Other,Married,Fully Meets,5,,,,
3514,Alexus,Estes,15-Apr-20,10,Full-Time,Full time,Part-Time,General  ,,Sales,Wireline Construction,1/3/1958,TX,Manager,Male,17419,Asian,Married,Fully Meets,1,,,,
3515,Kinsley,Flowers,9-Mar-22,10,Part-Time,Full time,Part-Time,General  ,School see rest firm I.,Sales,Finance & Accounting,4/29/1997,CO,Controller,Male,59593,White,Single,Fully Meets,4,,,,
3516,Deborah,Love,7-Apr-22,10,Contract,Full time,Part-Time,General  ,Source doctor rock group this.,Sales,Project Management - Con,6/25/1988,CO,Coordinator,Male,96350,Asian,Divorced,Fully Meets,5,,,,
3517,Milagros,Francis,19-Feb-20,10,Part-Time,Full time,Part-Time,General  ,,Sales,Splicing,1/4/1942,IN,Splicer,Male,44469,Hispanic,Widowed,Fully Meets,4,,,,
3518,Roberto,Michael,10-Apr-21,10,Contract,Full time,Part-Time,General  ,Little imagine career he produce program.,Sales,General - Eng,5/24/1969,CA,Coordinator,Female,13249,Hispanic,Married,Fully Meets,2,,,,
3519,Elaine,Ewing,19-Dec-21,10,Part-Time,Full time,Temporary,General  ,Your very trip successful memory to while out.,Sales,Aerial,3/28/1951,CA,Groundman,Male,17123,Hispanic,Widowed,Fully Meets,2,,,,
3520,Caiden,Munoz,13-Dec-20,10,Full-Time,Full time,Temporary,General  ,Red some option.,Sales,Project Management - Con,3/1/1963,ND,Manager,Female,18983,Black,Divorced,Fully Meets,1,,,,
3521,Jocelyn,Bradford,26-Feb-19,10,Contract,Full time,Part-Time,General  ,,Sales,General - Con,4/16/1949,KY,Electrician,Female,51795,Asian,Divorced,Fully Meets,4,,,,
3522,Marques,Armstrong,2-Mar-20,10,Full-Time,Full time,Part-Time,General  ,,Sales,Splicing,10/12/1983,KY,Splicer,Female,34369,Other,Single,Fully Meets,1,,,,
3523,Rohan,Chapman,25-Jun-21,10,Full-Time,Full time,Temporary,General  ,Theory grow future week house.,Sales,General - Con,12/19/1978,KY,Laborer,Female,23092,Other,Single,Fully Meets,2,,,,
3524,Emmanuel,Franklin,26-Jul-21,10,Contract,Full time,Full-Time,General  ,Inside week also so.,Sales,Field Operations,11/11/1999,TX,Laborer,Male,6074,Asian,Divorced,Fully Meets,2,,,,
3525,Clayton,Mccormick,3-Jul-22,10,Contract,Full time,Temporary,General  ,Surface vote old picture.,Sales,General - Con,1/29/1967,TX,Foreman,Male,72264,Hispanic,Single,Fully Meets,2,,,,
3526,Darius,Krause,15-Sep-22,10,Full-Time,Full time,Full-Time,General  ,,Sales,General - Con,5/30/1948,TX,Foreman,Male,28282,White,Widowed,Fully Meets,4,,,,
3527,Ahmed,Hawkins,1-May-20,10,Full-Time,Full time,Temporary,General  ,Especially thing recognize year fine shoulder.,Sales,Aerial,10/15/1974,CO,Lineman,Male,46645,Black,Married,Fully Meets,1,,,,
3528,Kymani,Benjamin,13-Oct-22,10,Full-Time,Full time,Part-Time,General  ,,Sales,Finance & Accounting,12/13/1991,CO,Accounting,Male,10790,Hispanic,Widowed,Fully Meets,2,,,,
3529,Callum,Mcdaniel,3-Jan-20,10,Part-Time,Full time,Full-Time,General  ,Camera spring color about energy provide claim.,Sales,Field Operations,6/18/1994,IN,Top Hand,Male,67282,Hispanic,Single,Fully Meets,2,,,,
3530,Zariah,Black,13-Nov-19,10,Full-Time,Full time,Part-Time,General  ,,Sales,Field Operations,6/16/1993,CA,Tower Hand,Female,62321,Black,Widowed,Fully Meets,2,,,,
3531,Ronnie,Mayer,17-Jun-23,10,Full-Time,Full time,Full-Time,General  ,,Sales,Project Management - Con,5/18/1943,CA,Project Manager,Male,18409,Black,Divorced,Fully Meets,1,,,,
3532,Marlon,Ford,14-Oct-21,10,Part-Time,Full time,Full-Time,General  ,,IT/IS,Wireless,11/27/1966,OR,Technician,Female,40306,Black,Widowed,Fully Meets,1,,,,
3533,Slade,Griffith,1-Jun-21,10,Contract,Full time,Full-Time,General  ,Pass language out side age evidence.,Sales,General - Sga,11/12/1966,ND,Administrator,Male,65183,White,Married,Fully Meets,2,,,,
3534,Lee,Frye,14-Sep-18,10,Full-Time,Full time,Full-Time,General  ,,Sales,Engineers,8/16/1959,KY,Engineer,Female,97002,Asian,Single,Fully Meets,4,,,,
3535,Veronica,Rowe,11-Dec-18,10,Full-Time,Full time,Temporary,General  ,Popular west moment natural step activity.,Sales,Fielders,2/2/1994,KY,Engineer,Female,29811,Black,Single,Fully Meets,4,,,,
3536,Aylin,Berg,6-Aug-22,10,Contract,Full time,Temporary,General  ,,Sales,General - Sga,1/2/1989,GA,Administrative,Female,89169,Black,Single,Fully Meets,2,,,,
3537,Neveah,Rowe,28-May-22,10,Contract,Full time,Part-Time,General  ,Manager lead both sing.,Sales,Field Operations,7/11/1954,TX,Foreman,Male,63882,Hispanic,Married,Fully Meets,2,,,,
3538,Keith,Baxter,16-Jun-19,10,Part-Time,Full time,Part-Time,General  ,And after why station much cell low.,Sales,Fielders,8/29/1959,TX,Engineer,Male,62328,Asian,Widowed,Fully Meets,2,,,,
3539,Chaz,Bruce,8-Dec-19,10,Full-Time,Full time,Temporary,General  ,,Sales,General - Con,11/27/1983,CO,Foreman,Male,74448,Hispanic,Single,Fully Meets,5,,,,
3540,Maya,Mccann,12-Mar-20,10,Full-Time,Full time,Part-Time,General  ,American rule surface very figure.,Sales,Splicing,6/9/1983,CO,Supervisor,Male,18721,White,Widowed,Exceeds,4,,,,
3541,Aaron,Weber,6-Apr-20,10,Full-Time,Full time,Full-Time,General  ,Read stand western white article campaign dog.,Sales,Field Operations,10/27/1991,IN,Technician,Male,78938,Black,Married,Exceeds,2,,,,
3542,Ellie,Gill,15-Apr-23,10,Active,Full time,Zone A,General  ,Unk,,Sales,Field Operations,3/1/1948,IN,Manager,Male,45456,White,Married,Needs Improvement,1,,,
3543,Rayne,Kerr,10-Nov-20,10,Active,Full time,Zone A,General  ,Unk,,Sales,General - Con,2/18/1981,CA,Laborer,Female,45509,Black,Single,Fully Meets,2,,,
3544,Samara,Mcbride,29-Jun-23,10,Active,Full time,Zone A,General  ,Retirement,Political likely land country.,Sales,Aerial,9/16/2000,CA,Foreman,Male,13902,Asian,Single,Fully Meets,2,,,
3545,Ryann,Rubio,7-Mar-22,10,Active,Full time,Zone C,General  ,Unk,,IT/IS,Field Operations,1/28/1943,OR,Locator,Female,9733,Black,Widowed,Fully Meets,1,,,
3546,Paris,Carr,31-Jul-21,10,Active,Full time,Zone B,General  ,Voluntary,Baby million million soldier.,Sales,General - Con,7/14/1980,ND,Foreman,Male,35786,Hispanic,Widowed,Exceeds,1,,,
3547,Adriel,Wiggins,20-Jan-22,10,Active,Full time,Zone B,General  ,Unk,,Sales,Project Management - Eng,3/25/1947,KY,Supervisor,Female,1919,Other,Married,Needs Improvement,2,,,
3548,Sanaa,Glass,11-Jul-21,10,Active,Full time,Zone A,General  ,Resignation,Bit reveal forget the.,Sales,General - Con,1/25/1964,KY,Technician,Female,40135,White,Single,Fully Meets,1,,,
3549,Ryan,Lynch,15-Oct-18,10,Active,Full time,Zone C,General  ,Retirement,Fact southern recognize themselves type mean.,Sales,Field Operations,3/17/1955,GA,Technician,Female,72975,Black,Divorced,Fully Meets,2,,,
3550,Charlie,Atkinson,26-Nov-21,10,Future Start,Full time,Zone C,General  ,Resignation,Will person decade Republican.,Sales,Wireline Construction,3/26/1988,TX,Billing,Male,57754,White,Divorced,Fully Meets,1,,,
3551,Emery,Roach,11-Aug-18,10,Active,Full time,Zone C,General  ,Unk,,Sales,Engineers,7/4/1954,TX,Engineer,Male,81142,Black,Married,Needs Improvement,4,,,
3552,Harper,Ramos,16-Feb-20,10,Active,Full time,Zone B,General  ,Retirement,Stand possible truth bank on meet daughter.,Sales,Field Operations,8/11/1942,CO,Foreman,Male,28714,White,Single,Needs Improvement,1,,,
3553,Khalil,Mendez,20-Jan-20,10,Active,Full time,Zone C,General  ,Unk,,Sales,Field Operations,5/7/1949,CO,Foreman,Male,50379,Black,Divorced,Fully Meets,4,,,
3554,Lizeth,Holland,31-Mar-19,10,Active,Full time,Zone C,General  ,Unk,,Sales,People Services,10/14/1958,IN,Cpo,Male,78385,Asian,Widowed,Fully Meets,1,,,
3555,Matilda,Randall,6-Jan-23,10,Active,Full time,Zone C,General  ,Resignation,Choose list of all nor stock.,Sales,General - Eng,1/11/1988,IN,Drafter,Female,48104,Hispanic,Widowed,Fully Meets,4,,,
3556,Damien,Howe,18-Jul-19,10,Active,Full time,Zone B,General  ,Retirement,Community material much behind.,Sales,Wireline Construction,6/16/1961,CA,Vp,Male,86009,White,Single,Exceeds,2,,,
3557,Nicholas,Obrien,13-Feb-19,10,Active,Full time,Zone C,General  ,Unk,,Sales,Field Operations,6/6/1960,MA,Operator,Male,68837,Other,Single,Fully Meets,2,,,
3558,Mildred,Gentry,30-Dec-18,10,Active,Full time,Zone A,General  ,Unk,,Production       ,Yard (Material Handling),6/4/1959,MA,Manager,Female,2145,Black,Single,Fully Meets,1,,,
3559,Wilson K,Adinolfi,6-Nov-19,10,Active,Full time,Zone C,General  ,Retirement,Age approach seek person across yes care.,Production       ,Field Operations,11/18/1991,MA,Assistant,Male,1960,White,Single,Fully Meets,2,,,
3560,Joanne,Handschiegl,1-Jun-22,10,Active,Full time,Zone C,General  ,Unk,,Production       ,Field Operations,2/18/1954,MA,Technician,Female,2127,Asian,Divorced,Exceeds,4,,,
3561,Dianna,Blount,28-Mar-23,10,Active,Full time,Zone C,General  ,Unk,,Production       ,General - Con,1/31/1959,MA,Technician,Female,2171,White,Married,Fully Meets,5,,,
3562,Jean,Crimmings,21-May-19,10,Future Start,Full time,Zone B,General  ,Retirement,Whom summer common produce despite follow.,Production       ,Shop (Fleet),4/9/1954,MA,Manager,Female,1821,Other,Single,Exceeds,2,,,
3563,Nore,Sadki,1-Jan-19,10,Active,Full time,Zone B,General  ,Unk,,Production       ,Field Operations,10/15/1946,MA,Driver,Male,2148,Black,Widowed,PIP,4,,,
3564,Susan,Lundy,26-Jan-19,10,Voluntarily Terminated,Full time,Zone C,General  ,Resignation,Week degree party available measure.,Production       ,Aerial,11/7/1994,MA,Lineman,Female,2122,White,Divorced,Fully Meets,1,,,
3565,Kramer,Keatts,11-Sep-21,10,Active,Full time,Zone B,General  ,Unk,,Production       ,General - Con,5/10/1968,MA,Lineman,Male,1887,Other,Divorced,Fully Meets,4,,,
3566,Maliki,Moumanil,26-Sep-21,10,Active,Full time,Zone A,General  ,Unk,,Production       ,Aerial,10/5/1963,MA,Lineman,Male,1460,Black,Single,Fully Meets,2,,,
3567,Nader,Barton,4-Mar-23,10,Debra Garcia,nader.barton@bilearner.com,EW,General  ,Full-Time,Zone C,Full-Time,Unk,,Production       ,General - Sga,9/2/1966,MA,Technician,Male,2747,Asian,Widowed,Fully Meets,4
3568,Quinn,Rarrick,11-Jul-23,10,Susan Brown,quinn.rarrick@bilearner.com,EW,General  ,Full-Time,Zone B,Part-Time,Involuntary,Couple really very hear.,Production       ,Field Operations,12/8/1974,MA,Foreman,Male,2478,Asian,Divorced,Fully Meets,2
3569,Beatrice,Chace,9-Feb-19,10,Margaret Hampton,beatrice.chace@bilearner.com,MSC,General  ,Part-Time,Zone B,Temporary,Involuntary,Trial little must kitchen recently.,Production       ,Catv,7/19/1995,MA,Supervisor,Female,2763,Hispanic,Divorced,Fully Meets,2
3570,Adrienne J,Homberger,19-Apr-19,10,Brandon Miller,adrienne j.homberger@bilearner.com,TNS,General  ,Full-Time,Zone B,Temporary,Voluntary,Change instead determine share far leg ground.,Production       ,Fielders,11/23/1974,MA,Engineer,Female,2445,Asian,Married,Fully Meets,1
3571,Marilyn,Linares,7-Jul-22,10,Dr. Matthew Schmitt,marilyn.linares@bilearner.com,NEL,General  ,Part-Time,Zone C,Full-Time,Resignation,Heavy throughout program.,Production       ,Field Operations,8/29/1947,MA,Engineer,Female,1886,White,Widowed,Fully Meets,4
